Catalogue/Guide Number,DOR ID,Inventory Number,Artist/Maker,Title,Group,Location,Site,Pleiades,TGN,TGN Web View,Begin Date,End Date,Date,Classification,Typology,Object Name,Medium,AAT,AAT Web View,Munsell,Height (cm),Width (cm),Depth (cm),Length (cm),Diameter (cm),Dimensions,Object Description,Culture,Image URL,Collection Page URL
cat. 1,13144,76.AD.11.1,,Statue of a Seated Poet (Orpheus?),Group of a Seated Poet and Sirens,Taranto region,Taranto,http://pleiades.stoa.org/places/442810,http://vocab.getty.edu/tgn/1003500,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=1003500,-330,-300,330-300 BC,Sculpture,Statue,Mythological figure ,Terracotta; Polychromy ,http://vocab.getty.edu/aat/300047296; http://vocab.getty.edu/aat/300247962,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296; http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300247962 ,7.5 yr 8/3-8/5,104,56.8,100.6,,,"Orpheus with chair, footstool, and slab (overall):  H: 104 cm; W: 56.8 cm; D: 100.6 cm. Footstool rest: H: 6.7; cm W: 29.7; cm; D: 24 cm. Footstool rest, flat slab: H: 3 cm; W: 44.9 cm; D: 34.1 cm.",,,http://www.getty.edu/museum/media/images/web/enlarge/015299F11V1.jpg,http://www.getty.edu/art/collection/objects/13144
cat. 2,13145,76.AD.11.2,,Statue of a Standing Siren A ,Group of a Seated Poet and Sirens,Taranto region,Taranto,http://pleiades.stoa.org/places/442810,http://vocab.getty.edu/tgn/1003500,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=1003500,-330,-300,330-300 BC,Sculpture,Statue,Mythological figure ,Terracotta; Polychromy ,http://vocab.getty.edu/aat/300047296; http://vocab.getty.edu/aat/300247962,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296; http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300247962 ,7.5 yr 8/3,140,35.8,55.2,,,H: 140 cm; W: 35.8 cm; D: 55.2 cm; L (from center of belly to tail): 49.1 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/015300F10V1.jpg,http://www.getty.edu/art/collection/objects/13145
cat. 3,13146,76.AD.11.3,,Statue of a Standing Siren B,Group of a Seated Poet and Sirens,Taranto region,Taranto,http://pleiades.stoa.org/places/442810,http://vocab.getty.edu/tgn/1003500,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=1003500,-330,-300,330-300 BC,Sculpture,Statue,Mythological figure ,Terracotta; Polychromy ,http://vocab.getty.edu/aat/300047296; http://vocab.getty.edu/aat/300247962,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296; http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300247962 ,7.5 yr 8/3,140,48,68,,,H: 140 cm; W: 48 cm; D: 68 cm; L (from center of belly to tail): 56.2 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/015301F2V1.jpg,http://www.getty.edu/art/collection/objects/13146
cat. 4,14442,82.AD.93.12,,Head of a Man,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,-425,-400,Late fifth century BC,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,7.5 yr 8/4; 5 yr 7/6,13.5,13.8,,,,H: 13.5 cm; W: 13.8 cm; H (face): 10.4 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/01663801.jpg,http://www.getty.edu/art/collection/objects/14442
cat. 5,14443,82.AD.93.13,,Head of a Man,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,-325,-275,Late fourth-early third century BC,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,2.5 yy 8/3,17.1,14.3,,,,H: 17.1 cm; W: 14.3 cm; H (face): 11.3 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/01663901.jpg,http://www.getty.edu/art/collection/objects/14443
cat. 6,14448,82.AD.93.18,,Head of a Man,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,-400,-300,Fourth century BC,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,10 yr 8/3-8/4,13.1,9.1,,,,H: 13.1 cm; W: 9.1 cm; H (face): 8.2 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/01664401.jpg,http://www.getty.edu/art/collection/objects/14448
cat. 7,14441,82.AD.93.11,,Head of a Male Banqueter,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,-400,-300,400-300 BC,Sculpture,Head,,Terracotta  ,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,2.5 yr 8/3-8/4,20.3,13.9,,,,H: 20.3 cm; W: 13.9 cm; H (face): 12.2 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/01663701.jpg,http://www.getty.edu/art/collection/objects/14441
cat. 8,14439,82.AD.93.9,,Head of a Male Banqueter,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,-400,-300,Fourth century  BC,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,7.5 yr 8/6,17.2,14.5,,,,H: 17.2 cm; W: 14.5 cm; H (face): 10.3 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/01663501.jpg,http://www.getty.edu/art/collection/objects/14439
cat. 9,14433,82.AD.93.3,,Head of a Woman,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,-375,-325,About 350  BC,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,5 yr 7/6-7/8,17.8,14.1,,,,H: 17.8 cm; W: 14.1 cm; H (face): 11.1 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/01662901.jpg,http://www.getty.edu/art/collection/objects/14433
cat. 10,14432,82.AD.93.2,,Head of a Woman,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,-375,-325,About 350 BC,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,10 yr 8/3,23.5,17.2,,,,H: 23.5 cm; W: 17.2 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/01662801.jpg,http://www.getty.edu/art/collection/objects/14432
cat. 11,14437,82.AD.93.7,,Head of a Woman,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,-350,-300,350-300 BC,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,7.5 yr 8/4 8/6,17.3,12.3,,,,H: 17.3 cm; W: 12.3 cm; H (face): 8.9 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/01663301.jpg,http://www.getty.edu/art/collection/objects/14437
cat. 12,14438,82.AD.93.8,,Head of a Woman,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,-350,-300,350-300 BC,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,5 yr 7/6,14.4,11.5,,,,H: 14.4 cm; W: 11.5 cm; H (face): 10.2 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/01663401.jpg,http://www.getty.edu/art/collection/objects/14438
cat. 13,14446,82.AD.93.16,,Head of a Woman,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,-350,-300,350-300 BC,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,5 yr 7/6,16.5,12.6,,,,H: 16.5 cm; W: 12.6 cm; H (face): 11.7 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/01664201.jpg,http://www.getty.edu/art/collection/objects/14446
cat. 14,14444,82.AD.93.14,,Head of a Woman,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,-350,-300,350-300 BC,Sculpture,Head,,Terracotta  ,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,5 yr 8/6,12,10.3,,,,H: 12 cm; W: 10.3 cm; H (face): 8 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/01664001.jpg,http://www.getty.edu/art/collection/objects/14444
cat. 15,14434,82.AD.93.4,,Bust of a Woman,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,-425,-350,Late fifth-first half of the fourth centuries  BC,Sculpture,Bust,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,7.5 yr 8/3,16.9,13.2,,,,H: 16.9 cm; W: 13.2 cm; H (face): 9.4 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/01663001.jpg,http://www.getty.edu/art/collection/objects/14434
cat. 16,14435,82.AD.93.5,,Bust of a Woman,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,-450,-350,450-350 BC,Sculpture,Bust,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,7.5 yr 8/4,16.2,9.2,,,,H: 16.2 cm; W: 9.2 cm; H (face): 7 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/01663101.jpg,http://www.getty.edu/art/collection/objects/14435
cat. 17,14440,82.AD.93.10,,Bust of a Woman,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,-400,-250,400-250 BC,Sculpture,Bust ,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,7.5 yr 8/4-7/6,15.9,12.3,,,,H: 15.9 cm; W: 12.3 cm; H (face): 9.4 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/01663601.jpg,http://www.getty.edu/art/collection/objects/14440
cat. 18,14447,82.AD.93.17,,Head of a Youth,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,-300,-250,300-250 BC,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,7.5 yr 8/6,16.5,13.1,,,,H: 16.5 cm; W: 13.1 cm; H (face): 11.3 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/01664301.jpg,http://www.getty.edu/art/collection/objects/14447
cat. 19,14436,82.AD.93.6,,Head of a Youth,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,-300,-100,Third-second century  BC,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,7.5 yr 8/4,17.4,9.2,,,,H: 17.4 cm; W: 9.2 cm; H (face): 9.3 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/01663201.jpg,http://www.getty.edu/art/collection/objects/14436
cat. 20,14449,82.AD.93.19,,Head of a Youth,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,-400,-350,400-350 BC,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,10 yr 8/3,13.4,12.2,,,,H: 13.4 cm; W: 12.2 cm; H (face): 10.4 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/01664501.jpg,http://www.getty.edu/art/collection/objects/14449
cat. 21,14445,82.AD.93.15,,Bust of a Youth,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,-425,-300,Late fifth-fourth century  BC,Sculpture,Bust ,,Terracotta  ,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,10 yr 8/3,26.8,15.5,,,,H: 26.8 cm; W: 15.5 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/01664101.jpg,http://www.getty.edu/art/collection/objects/14445
cat. 22,10198,82.AD.93.1,,Fragment of a Head,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,-440,-430,440-430 BC,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,2.5 yr 8/3,14.2,14,,,,H: 14.2 cm; W: 14 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/01213901.jpg,http://www.getty.edu/art/collection/objects/10198
cat. 23,14450,82.AD.93.20,,Head of a Child,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,-300,-200,300-200 BC,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,5 yr 7/6,13.5,11.5,,,,H: 13.5 cm; W: 11.5 cm; H (face): 11 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/01664601.jpg,http://www.getty.edu/art/collection/objects/14450
cat. 24,103244,96.AD.243,,Head of a Bearded Man,,Taranto region,Taranto and the Apulian Region,http://pleiades.stoa.org/places/442469,http://vocab.getty.edu/tgn/7010380,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7010380,-300,-250,300-250 BC,Sculpture,Head,Male figure,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,5 y 7/6,11.5,8.2,,,,H: 11.5 cm; W: 8.2 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/11030901.jpg,http://www.getty.edu/art/collection/objects/103244
cat. 25,8354,78.AD.294.2,,Statuette of a Woman,,Taranto region,Taranto and the Apulian Region,http://pleiades.stoa.org/places/442469,http://vocab.getty.edu/tgn/7010380,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7010380,-400,-250,400-250 BC,Sculpture,Statuette,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,10 yr 8/3,16.8,7.5,,,,H: 16.8 cm; W: 7.5 cm; Diam (vent hole): 2.3 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/00950001.jpg,http://www.getty.edu/art/collection/objects/8354
cat. 26,8353,78.AD.294.1,,Plaque with a Woman,,Taranto region,Taranto and the Apulian Region,http://pleiades.stoa.org/places/442469,http://vocab.getty.edu/tgn/7010380,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7010380,-325,-200,Late fourth-third century  BC,Sculpture,Plaque,,Terracotta  ,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,7.5 yr 8/6,16.4,5.9,,,,H: 16.4 cm; W: 5.9 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/00949901.jpg,http://www.getty.edu/art/collection/objects/8353
